index,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
782,46gdSYZIwcEVM6gy8qjHiK,2,Springsteen,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,0,0.6920000000000001,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4,77,contemporary country,country
783,4QAXLB2Hkx3n7LbOFxD34h,62,Drinking Class,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,0,0.6629999999999999,0.53,1,-9.763,1,0.0301,0.0886,0.0,0.154,0.26899999999999996,109.00299999999999,207347,4,75,contemporary country,country
784,2JeutlmgaRhJRZKGGIYXSg,35,Party People,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,1,0.47200000000000003,0.97,1,-2.9160000000000004,1,0.0448,0.0459,1.22e-06,0.121,0.82,171.954,218573,4,84,contemporary country,country
785,3qJQtLfi7ztIz7JYDrVHrg,39,Country Must Be Country Wide,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,0,0.409,0.765,11,-5.696000000000001,1,0.0412,0.0249,6.16e-06,0.10400000000000001,0.5,83.09299999999999,215573,4,74,contemporary country,country
786,055lCm3ZhtHaO6h4sCMtrG,23,Keep Me in Mind,Zac Brown Band,6yJCxee7QumYr820xdIsjo,0,0.684,0.715,6,-6.132000000000001,1,0.0336,0.159,0.0,0.18100000000000002,0.563,96.01799999999999,214107,4,77,contemporary country,country
787,1Gik3TyJDV08pa78nJsU35,37,Bait A Hook,Justin Moore,30e8DmahrEamvLbFRPdWmk,0,0.6709999999999999,0.7959999999999999,1,-6.117000000000001,1,0.0273,0.0158,0.0,0.0932,0.716,105.95100000000001,211733,4,69,arkansas country,country
788,2Moa5MbVbUNISjmpYqm0DO,1,Games,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,0.508,0.883,8,-3.4019999999999997,0,0.0967,0.221,0.0,0.111,0.887,158.04,176293,4,81,contemporary country,country
789,60hGQrn24APqEFSLObLeDc,57,Highway Don't Care,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,1,0.47700000000000004,0.79,2,-5.348,1,0.0394,0.0261,0.0,0.0841,0.505,157.797,279067,4,77,contemporary country,country
790,6tHB1FilFhtQztB0U8A6uC,1,Better Man,Little Big Town,3CygdxquGHurS7f9LjNLkv,0,0.52,0.8270000000000001,5,-3.588,1,0.038,0.128,0.0,0.0841,0.519,143.903,263120,4,71,contemporary country,country
791,21jkhW2773dELgTMRJcMfI,59,I Love This Life,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,0,0.586,0.927,2,-3.014,1,0.0547,0.0164,7.24e-06,0.153,0.5489999999999999,111.977,208864,4,60,contemporary country,country
792,4bFnylMMUQLog6nXVmELhJ,0,Hey Girl,Billy Currington,1By9QBFnjZAoI83BZppHlt,0,0.541,0.672,3,-5.316,0,0.0272,0.0141,0.0,0.0706,0.609,82.01100000000001,200533,4,71,contemporary country,country
793,4dSoGVrDcbQafRw2FJwbmW,45,Play It Again,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,0.508,0.882,11,-3.239,1,0.0652,0.0931,0.0,0.0712,0.595,143.936,226867,4,81,contemporary country,country
794,7c46IFYepx7IcebqEp0GHM,39,Wasted Time,Keith Urban,0u2FHSq3ln94y5Q57xazwf,0,0.625,0.825,7,-5.757999999999999,1,0.0481,0.0621,0.0,0.0753,0.341,100.00399999999999,233827,4,76,australian country,country
796,0UVkeeh91kqgf3JuWVrBuT,0,Let It Rain,David Nail,4DZGvSv2oMkBUnPz67E6z6,1,0.526,0.639,4,-2.838,1,0.0391,0.39,2.42e-06,0.325,0.539,77.92399999999999,222253,4,59,contemporary country,country
797,2xO6cHoM6Hi3TbBsPgXJHf,31,You Make It Easy,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,0,0.375,0.574,7,-5.305,1,0.0315,0.14300000000000002,0.0,0.11,0.406,132.025,196800,3,80,contemporary country,country
798,40ti3dnqdMLTXg0GrBOB9g,0,Sparks Fly,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0,0.608,0.785,5,-2.9760000000000004,1,0.0311,0.0387,0.0,0.158,0.376,114.985,260947,4,95,dance pop,country
